"method","sizes","probs","cells","pred_sizes_perf","pred_probs_perf","pred_warns_perf","pred_sizes_corr","pred_probs_corr","pred_warns_corr","zero_prop_corr","error_sizes_perf","error_probs_perf","error_sizes_corr","error_probs_corr"
"negloglik",40.6,0.46,3750,43.6272326938672,0.477588049196437,0,40.0114788645246,0.445425509682752,0,0.0530666666666667,3.02723269386719,0.0175880491964365,0.588521135475361,0.0145744903172481
"negloglik",33.5,0.78,4950,34.1155360112957,0.783995019670565,0,34.7955428648736,0.77861533701017,0,0.316161616161616,0.615536011295703,0.00399501967056459,1.29554286487365,0.00138466298982964
"negloglik",20.2,0.26,1950,21.9097233691053,0.275167074367082,0,19.9501723113116,0.249568997418624,0,0.0430769230769231,1.70972336910525,0.0151670743670819,0.249827688688391,0.0104310025813759
"negloglik",41.4,0.4,2050,36.635949130554,0.369968048553566,0,39.402650746616,0.375585272594099,0,0.0414634146341463,4.76405086944603,0.0300319514464341,1.99734925338395,0.0244147274059013
"negloglik",19.5,0.88,1750,28.2044021139997,0.914642936110418,0,11.6125707168665,0.805207189366716,0,0.676571428571429,8.70440211399969,0.0346429361104181,7.88742928313351,0.0747928106332838
"negloglik",39.8,0.63,500,33.119329502765,0.592291931878824,0,88.5225149004396,0.790778214695347,0,0.15,6.68067049723501,0.0377080681211759,48.7225149004396,0.160778214695347
"negloglik",36.9,0.95,4900,42.9170192035457,0.956912266321244,0,55.0687115103288,0.964873271746417,0,0.750408163265306,6.01701920354572,0.00691226632124442,18.1687115103288,0.0148732717464169
"negloglik",23.3,0.29,4400,23.1003477953463,0.28807540102853,0,22.5425234843384,0.274127509520785,0,0.0434090909090909,0.19965220465366,0.00192459897146974,0.757476515661629,0.0158724904792145
"negloglik",24.3,0.52,3200,25.7739935313379,0.535234056971641,0,20.0635547898366,0.458591696239409,0,0.14125,1.47399353133794,0.0152340569716407,4.23644521016338,0.0614083037605911
"negloglik",34.5,0.81,950,35.3451438918172,0.813064109107141,0,19.0130275633368,0.685053126055286,0,0.371578947368421,0.84514389181723,0.00306410910714083,15.4869724366632,0.124946873944714
"negloglik",27.7,0.21,1550,27.6643747389275,0.209812771610029,0,28.3702494242808,0.206513598860294,0,0.0174193548387097,0.0356252610724681,0.000187228389971206,0.670249424280833,0.00348640113970608
"negloglik",47.9,0.74,3800,46.1009086859272,0.73148934392324,0,52.0229475498549,0.748188247863234,0,0.174736842105263,1.79909131407278,0.00851065607675949,4.12294754985489,0.00818824786323413
"negloglik",11.1,0.77,650,10.0136646890669,0.742523642861334,0,14.1754466261713,0.793945257807649,0,0.613846153846154,1.08633531093313,0.027476357138666,3.07544662617127,0.0239452578076489
"negloglik",4.6,0.03,4200,4.49937227860716,0.0291183217480359,0,4.54342551470303,0.0281117216358661,0,0.0166666666666667,0.100627721392844,0.000881678251964106,0.0565744852969701,0.00188827836413393
"negloglik",0.1,0.39,1000,0.0943025908652991,0.370828637860789,0,0.154080131567094,0.479943854974374,0,0.978,0.00569740913470089,0.019171362139211,0.0540801315670938,0.0899438549743736
"negloglik",17.4,0.11,4900,17.525633427211,0.110833707275185,0,17.2518011422605,0.104613406419891,0,0.0118367346938776,0.125633427210996,0.000833707275184573,0.148198857739487,0.00538659358010946
"negloglik",24.8,0.44,2150,27.0552988533861,0.461977356361188,0,43.5569382647934,0.570658204077863,0,0.0925581395348837,2.25529885338607,0.021977356361188,18.7569382647934,0.130658204077863
"negloglik",44.6,0.08,2550,44.2830569724758,0.0793941820107384,0,42.5763518477744,0.0734038024753587,0,0,0.316943027524239,0.000605817989261639,2.02364815222563,0.00659619752464127
